mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
"LOC_CITY_Marysville, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.marysville.ca.us/mission-and-vision,,
"LOC_CITY_Maywood, City of",The City of Maywood is committed to transparency and accountability and providing quality municipal services that are responsive to the needs of our community.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofmaywood.com/27/City-Government,,
"LOC_CITY_McFarland, City of","Advance a model of professionalism that ensures the delivery of high quality products and services, continuously improves efficiency and removes barriers for future development.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.mcfarlandcity.org/321/Mission-Statement,,
"LOC_CITY_Mendota, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.mendota.ca.us/,,
"LOC_CITY_Menifee, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofmenifee.us/221/General-Plan,,
"LOC_CITY_Menlo Park, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.menlopark.org/,,
"LOC_CITY_Merced, City of","The Mayor and Council members work together as a team, representing all Merced constituents, in order to make Merced a city which:

Maintains a high quality of life for its citizens;
Demonstrates a positive attitude and approach in dealing with all segments of the community;
Shows sensitivity and awareness of community needs and issues;
Respects the diversity of its community;
Develops creative and affordable solutions and alternatives to meet community needs;
Is service-oriented, efficient, and progressive in its approach to problem resolution and use of resources;
Offers economic development opportunities beneficial to its citizens;
Maximizes teamwork and encourages individual involvement and personal growth, so that the community achieves its goals and contributes to society as a whole; and,
Creates and maintains an enjoyable atmosphere in which to live and work.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofmerced.org/departments/city-council,Yes,City Council
"LOC_CITY_Mill Valley, City of","The mission of the City of Mill Valley is to provide a full range of municipal services to residents and businesses in accordance with the general plan and City Council policy and direction. City staff shall deliver those services in an efficient, effective and courteous manner with a commitment to operational excellence.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofmillvalley.org/gov/citycouncil/mission.htm,,
"LOC_CITY_Millbrae, City of","Enhancing the quality of life in our shared community, providing great services, encouraging community engagement, fostering economic growth, and embracing cultural diversity in a safe environment.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.millbrae.ca.us/government,,
"LOC_CITY_Milpitas, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.milpitas.ca.gov/,,
"LOC_CITY_Mission Viejo, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofmissionviejo.org/,,
"LOC_CITY_Modesto, City of",We are committed to the delivery of exceptional public services and building partnerships that promote economic prosperity and engaged neighborhoods.,Yes,Cultural,Recreation/parks/Trails/greenways,,,"https://www.modestogov.com/ArchiveCenter/ViewFile/Item/3100#:~:text=Modesto%20is%20an%20inviting%20and%20safe%20community%20with%20thriving%20neighborhoods.&text=A%20mission%20is%20a%20statement%20of%20the%20purpose%20of%20the%20organization.&text=We%20are%20committed%20to%20the,economic%20prosperity%20and%20engaged%20neighborhoods.",,
"LOC_CITY_Montclair, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofmontclair.org/,,
"LOC_CITY_Montebello, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofmontebello.com/,,
"LOC_CITY_Monterey Park, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.montereypark.ca.gov/,,
"LOC_CITY_Monterey, City of","The Monterey City Council will provide visionary policy and legislative leadership that assures a safe, healthy and economically vibrant community. Anda!",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://monterey.org/City-Hall/City-Council/Vision-and-Mission,Yes,City Council
"LOC_CITY_Moorpark, City of",Striving to preserve and improve the quality of life in Moorpark.,Yes,Cultural,Recreation/parks/Trails/greenways,,,"https://www.moorparkca.gov/DocumentCenter/View/10045/2019-21-Goals-and-Objectives-Official?bidId=#:~:text=CITY%20MISSION%20STATEMENT,considered%20to%20have%20equal%20priority.)",,
"LOC_CITY_Moraga, Town of","Our mission is to preserve and enhance the unique quality of life in our town by:

Creating a greater sense of community
Honoring our tradition of minimal service government
Preserving our natural landscape
Supporting quality education, traffic congestion relief and leisure opportunities within Lamorinda
Providing a safe environment",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.moraga.ca.us/31/Community,,
"LOC_CITY_Moreno Valley, City of","Maintain a safe and secure environment for the people who
live, work, and play in the city.
Promote democracy, inviting citizen involvement while encouraging community self-determination and local control.
Enhance and sustain the economic prosperity of the community and the financial well-being of the city government.
Bring together our community and its resources to address
local needs and issues and enhance the quality of life.
Build quality public and private facilities, emphasizing recreational and cultural activities for all ages and interests.
Foster harmony among diverse community groups by providing opportunities for improvement, respecting cultural
differences, and treating people equally and fairly.
Respect and conserve our environmental resources for the
health and enjoyment of our citizens and future generations.
Advocate for and effectively represent the city’s interests
with other governmental and private institutions, and
establish cooperative partnerships to improve the quality of life in the region.
Exemplify good government by operating a city
business that is open and ethical, customerfriendly, cost-conscious, innovative,
technologically advanced, and
forward-thinking.
Cultivate a challenging and rewarding work environment—
as a “model employer”—that
supports our employees and
their families, develops people,
promotes teamwork, and
celebrates humanity",Yes,Cultural,Recreation/parks/Trails/greenways,,,http://www.moval.org/community/about.shtml,,
"LOC_CITY_Morgan Hill, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.morgan-hill.ca.gov/1613/Core-Values,,
"LOC_CITY_Morro Bay, City of","The City of Morro Bay provides essential public services and infrastructure to maintain a safe, clean and healthy place for residents and visitors to live, work and play.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.morrobayca.gov/920/City-Goals-Objectives,,
"LOC_CITY_Mount Shasta, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://mtshastaca.gov/,,
"LOC_CITY_Mountain View, City of",The City of Mountain View provides quality services and facilities that meet the needs of a caring and diverse community in a financially responsible manner.  ,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.mountainview.gov/depts/,,
"LOC_CITY_Murrieta, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.murrietaca.gov/,,
"LOC_CITY_Napa, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofnapa.org/,,
"LOC_CITY_National City, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.nationalcityca.gov/home,,
"LOC_CITY_Needles, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://cityofneedles.com/,,
"LOC_CITY_Nevada City, City of","The City of Nevada City is dedicated to preserving and enhancing its small town character and historical architecture while providing quality public services for our current and future residents, businesses and visitors.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.nevadacityca.gov/pview.aspx?id=20804&catid=0,,
"LOC_CITY_Newark, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.newark.org/departments/city-manager-s-office,,
"LOC_CITY_Newman, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.cityofnewman.com/,,
"LOC_CITY_Newport Beach, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.newportbeachca.gov/home,,
"LOC_CITY_Norco, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.norco.ca.us/default.asp,,
"LOC_CITY_Norwalk, City of","The City of Norwalk is committed to meeting the needs of its residents and businesses by providing exceptional public services and facilities that are responsive to the community through honest, efficient and fiscally responsible leadership.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.norwalk.org/city-hall/hours-and-days-of-operation/our-vision-mission-and-values,,
"LOC_CITY_Novato, City of",The mission of the City of Novato is to provide excellent services and enrich the quality of life within the community in a fiscally-responsible manner.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.novato.org/government,,
"LOC_CITY_Oakdale, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.oakdalegov.com/,,
"LOC_CITY_Oakland, City of","The City of Oakland is committed to the delivery of effective, courteous and responsive services. Citizens and employees shall be treated with fairness, dignity and respect. Civic and employee pride are accomplished through the pursuit of excellence by a work force that values and reflects the diversity of the Oakland community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.oaklandca.gov/topics/facts-about-oakland#page-about,,
"LOC_CITY_Oakley, City of","The City of Oakley exists to build and enhance a quality community and to serve the public in a friendly, efficient, responsive manner.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.oakley.ca.us/city-meetings/strategic-plan/,,
"LOC_CITY_Oceanside, City of",The City of Oceanside’s mission is to enhance the quality of life through outstanding service to its diverse community.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.oceanside.ca.us/about/mission.asp,,
"LOC_CITY_Ojai, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://ojai.ca.gov/,,
"LOC_CITY_Ontario, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ontarioca.gov/,,
"LOC_CITY_Orange Cove, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityoforangecove.com/about-orange-cove/,,
"LOC_CITY_Orange, City of","The City of Orange is committed to excellent service for our residents, businesses and visitors.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityoforange.org/177/Strategic-Plan,,
"LOC_CITY_Orinda, City of","Orinda strives to provide excellent service in a fiscally responsible manner and to promote a safe, healthy and vibrant community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityoforinda.org/320/City-Mission-Statement,,
"LOC_CITY_Orland, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityoforland.com/,,
"LOC_CITY_Oroville, City of","The City of Oroville is dedicated to serving the public, ensuring the safety and vitality of the community, and promoting prosperity for all.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityoforoville.org/government/contact-city-council/city-of-oroville-vision-mission,,
"LOC_CITY_Oxnard, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.oxnard.org/,,
"LOC_CITY_Pacific Grove, City of",Provide high quality and professional public services that address community needs while enhancing the quality of life.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofpacificgrove.org/our_city/city_council_/city_council_values_vision_mission_goals_strategies.php,Yes,City Council
"LOC_CITY_Pacifica, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofpacifica.org/government/councilgoals.asp,,
"LOC_CITY_Palmdale, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofpalmdale.org/,,
"LOC_CITY_Palo Alto, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofpaloalto.org/City-Hall/City-Council,,
"LOC_CITY_Palos Verdes Estates, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.pvestates.org/home,,
"LOC_CITY_Paradise, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.paradise.ca/en/index.aspx#,,
"LOC_CITY_Paramount, City of",Dedicated to providing fiscally responsible services that maintain a vibrant community,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.paramountcity.com/community/city-profile-history/financial-profile/city-vision-mission-statement,,
"LOC_CITY_Parlier, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://parlier.ca.us/,,
"LOC_CITY_Paso Robles, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.prcity.com/,,
"LOC_CITY_Patterson, City of","The City of Patterson proudly promotes a healthy, safe, and vibrant community. We are dedicated to delivering excellent services and engaging meaningful public participation.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.patterson.ca.us/433/City-Mission-Statement,,
"LOC_CITY_Perris, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofperris.org/home,,
"LOC_CITY_Petaluma, CA",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofpetaluma.org/,,
"LOC_CITY_Pico Rivera, City of",Our mission is to positively impact our community by optimizing and engaging our workforce to improve the human experience and quality of life in the City of Pico Rivera. ,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.pico-rivera.org/about/our_mission_and_values.asp,,
"LOC_CITY_Piedmont, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://piedmont.ca.gov/,,
"LOC_CITY_Pinole, City of","Pinole will be efficient, ethical, and effective in delivering quality services with community involvement and fiscal stewardship.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.pinole.ca.us/city_government/city_council/2020-2025_strategic_plan,,
"LOC_CITY_Pismo Beach, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.pismobeach.org/1,,
"LOC_CITY_Pittsburg, City of","To provide responsive and high quality public services in partnership with our citizens celebrating our community's rich history, cultural diversity, and pride in its prosperous future.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.pittsburgca.gov/our-city/our-mission,,
"LOC_CITY_Placentia, City of",The Mission and Vision placed before the City of Placentia to keep it a pleasant place to live.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.placentia.org/31/About-Placentia,,
"LOC_CITY_Placerville, City of",A Unique Historical Past Forging into a Golden Future,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofplacerville.org/our-mission,,
"LOC_CITY_Pleasant Hill, City of","The City of Pleasant Hill is dedicated to maintaining
a safe, pleasant environment within the community by providing effective
governance and the efficient and professional delivery of public services.
In the process of providing representative local government, the City
identifies and anticipates concerns,
problems, and opportunities
and takes actions to address
them. The City government is a catalyst for
the involvement of
residents, businesses,
and organizations in
the development and maintenance of a well-integrated
community",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.bobmurrayassoc.com/search/upload/Pleasant%20Hill%20Asst%20City%20Manager%20and%20Community%20Development%20Director.pdf,,
"LOC_CITY_Pleasanton, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofpleasantonca.gov/default.asp,,
"LOC_CITY_Pomona, City of",The City of Pomona improves the quality of life for our diverse community.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.pomonaca.gov/our-city/about-pomona?locale=en,,
"LOC_CITY_Port Hueneme, City of","The City Council strives to enrich the quality of life for all people who live, work and visit the City of Port Hueneme.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.port-hueneme.ca.us/DocumentCenter/View/3179/2020_04-28_cc_itm_01?bidId=,Yes ,City Council
"LOC_CITY_Porterville, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.ci.porterville.ca.us/,,
"LOC_CITY_Portola Valley, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.portolavalley.net/home,,
"LOC_CITY_Portola, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.portola.ca.us/,,
"LOC_CITY_Rancho Cordova, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofranchocordova.org/home,,
"LOC_CITY_Rancho Cucamonga, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofrc.us/,,
"LOC_CITY_Rancho Palos Verdes, City of","The City of Rancho Palos Verdes is dedicated to providing its residents, businesses and visitors with exemplary municipal governance and services, while preserving our low-density, lowtax and semi-rural character, inclusive of our natural resources and open space, thereby enhancing the quality of life.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.rpvca.gov/DocumentCenter/View/189/Rancho-Palos-Verdes-Mission-Vision-and-Core-Values-Statement-PDF?bidId=,,
"LOC_CITY_Red Bluff, City of","It is the mission of the City of Red Bluff to make decisions, plan and act in the best interest of the general populace of Red Bluff above and beyond the interest of City Government entities and City government officials in providing municipal services.

We recognize that the City has been entrusted with the stewardship of financial resources that rightly belong to the community and we value prudent financial management.

We believe that our first responsibility is to the health, safety, and welfare of our citizens through efficient and effective programs.

We believe in the worth of every person in our organization we strive to maximize everyone's potential. We seek ideas and participation from all levels.

We have a bias for action and support reasonable risk-taking.

To sustain consistency, growth and a high quality of life in our community, we are committed to long-range planning, effective management of resources and openness toward innovative ideas.",Yes,Cultural,Recreation/parks/Trails/greenways,,,http://www.cityofredbluff.org/,,
"LOC_CITY_Redding, City of","Provide a high quality of life, remembering that families and neighborhoods are the centerpiece of our lives; the Redding Community will remain clean and safe and will work aggressively to prevent sprawl through careful community development, planning, and smart growth. The City is seen as proactive rather than reactive by focusing on what type of City we would like to be in the future and taking the necessary steps to assure we reach our goals.",Yes,Cultural,Recreation/parks/Trails/greenways,,,"https://www.cityofredding.org/departments/city-manager#:~:text=To%20protect%20and%20enhance%20the,leadership%20that%20values%20good%20governance.",,
"LOC_CITY_Redlands, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofredlands.org/,,
"LOC_CITY_Redondo Beach, City of","The City of Redondo Beach is committed to providing the finest services to enhance the quality of life for those who live, work, visit and play in our community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.redondo.org/about/default.asp,,
"LOC_CITY_Redwood City, City of","Building a welcoming Redwood City through collaboration, responsiveness and excellence. ",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.redwoodcity.org/city-hall/city-council/redwood-city-strategic-plan,,
"LOC_CITY_Reedley, City of","We, the members of the Reedley City Council and employees of the City of Reedley, foster a high quality of life for our entire community by creating an environment of open communication, progressive partnerships, economic opportunities and the delivery of efficient, responsive and excellent community services.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://reedley.ca.gov/about-reedley/,,
"LOC_CITY_Rialto, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.yourrialto.com/,,
"LOC_CITY_Richmond, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.richmond.ca.us/,,
"LOC_CITY_Ridgecrest, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ridgecrest-ca.gov/,,
"LOC_CITY_Rio Dell, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofriodell.ca.gov/,,
"LOC_CITY_Rio Vista, City of","Our mission is to maintain our friendly, safe, small-town character as we grow",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.riovistacity.com/organizational-values/,,
"LOC_CITY_Ripon, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.cityofripon.org/,,
"LOC_CITY_Riverbank, City of","The Mission of the City of Riverbank is to provide high quality, professional services and a safe family-oriented community for our diverse residents to thrive.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.riverbank.org/393/City-of-Riverbank-Strategic-Plan,,
"LOC_CITY_Riverside, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.riversideca.gov/,,
"LOC_CITY_Rocklin, City of",The City of Rocklin's mission is to become a city that provides its citizens with exceptional quality of life while maintaining its small town sense of community.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.rocklin.ca.us/about-rocklin,,
"LOC_CITY_Rohnert Park, City of",We care for our residents by working together to build a better community for today and tomorrow.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.rpcity.org/cms/one.aspx?pageId=3344165,,
"LOC_CITY_Rolling Hills Estates, City of","To preserve and enhance the quality of life for residents, businesses and visitors through outstanding municipal governance and exemplary service to the community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.rolling-hills-estates.ca.us/community/city-info/mission,,
"LOC_CITY_Rolling Hills, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.rolling-hills.org/,,
"LOC_CITY_Rosemead, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofrosemead.org/,,
"LOC_CITY_Roseville, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.roseville.ca.us/,,
"LOC_CITY_Ross, Town of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.townofross.org/,,
"LOC_CITY_Sacramento, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.cityofsacramento.org/,,
"LOC_CITY_Sage, CA",,,,,,,,Yes,No website
"LOC_CITY_Saint Helena, City of","The City of St. Helena is dedicated to serving the needs and desires of our
citizens by:
? Maintaining and improving our short and long-term economic sustainability
? Offering excellent professional services to all customers
? Establishing, improving and maintaining City infrastructure
? Maintaining and encouraging an environmentally sustainable community
? Preserving and embracing the historic, small-town, rural character of St
Helena.
? Expanding and improving recreational services and facilities and cultural
opportunities
? Encouraging a wide range of innovative, well-designed housing available for
residents of all ages and income levels
? Facilitating full civic participation and ongoing communication
? Strengthening partnerships with the private, non-profit and public sectors",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsthelena.org/bc-citycouncil,,
"LOC_CITY_Salinas, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsalinas.org/,,
"LOC_CITY_San Anselmo, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.townofsananselmo.org/,,
"LOC_CITY_San Bernardino, City of","Our mission is to provide quality and cost effective services to the people of San Bernardino. We will provide excellence in leadership through the allocation of public resources to City programs that are responsive to community priorities and maximize opportunities for economic, educational, and cultural viability.",Yes,Cultural,Recreation/parks/Trails/greenways,,,http://sbcity.org/cityhall/mayor/city_goals/default.asp,Yes,Mayor's Officer
"LOC_CITY_San Bruno, City of",The City of San Bruno exists to provide exemplary services for our community that enhance and protect the quality of life.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.sanbruno.ca.gov/community/our_mission.htm,,
"LOC_CITY_San Carlos, City of","The City of San Carlos provides high-quality services and facilities to its residents in a sustainable, transparent, responsive and friendly manner to foster a safe and healthy community now and in the future.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsancarlos.org/government/city-council,,
"LOC_CITY_San Clemente, City of","The City of San Clemente, in partnership with the community we serve, will foster a tradition dedicated to:

Maintaining a safe, healthy atmosphere in which to live, work and play;

Guiding development to ensure responsible growth while preserving and enhancing our village character, unique environment and natural amenities; 

Providing for the City’s long term stability through promotion of economic vitality and diversity; 

Resulting in a balanced community committed to protection of what is valued today while meeting tomorrow’s needs.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.san-clemente.org/about-us,,
LOC_CITY_San Diego Redevelopment Agency,"Promote safe, affordable housing opportunities
and improved communities in the San Diego region.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.sandiegocounty.gov/content/sdc/sdhcd/about-us.html,Yes,"""Housing and Community Development Services (HCDS) serves as the Housing Successor Agency for the former County of San Diego Redevelopment Agency. It administers the assets and associated responsibilities for the housing assets funded with redevelopment funds."""
"LOC_CITY_San Dimas, City of","The City of San Dimas is committed to excellence in the planning of the community with due consideration for the physical and social environment. The City Council and all City employees are committed to well-maintained facilities and being responsive to the needs of residents by providing necessary programs.

The City recognizes that its function is to serve the San Dimas residents and businesses and to address their concerns in a cooperative and courteous manner. San Dimas acknowledges that the community has a character that is enhanced by the preservation of its history, historical buildings, and terrain. The City serves as a resource giving all people a sense of belonging to the City through programs, organizations, and activities.ved communities in the San Diego region.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://sandimasca.gov/about-us/,,
"LOC_CITY_San Fernando, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://ci.san-fernando.ca.us/,,
"LOC_CITY_San Gabriel, City of","Through uncommon commitment, collaboration, and optimism that inspire community pride, we: ? Promote economic vitality ? Provide exceptional services and experiences ? Implement innovative, sustainable solutions ? Celebrate our rich history and promising future",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.sangabrielcity.com/1033/Strategic-Plan,,
"LOC_CITY_San Jacinto, City of","To build upon and enjoy our special heritage. To create an attractive, well-planned, and balanced community that supports our citizens and businesses. To provide a safe and healthy community that offers education, employment, recreation, and cultural opportunities. To promote pride in San Jacinto. ",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.sanjacintoca.gov/cms/one.aspx?pageId=13000732,,
"LOC_CITY_San Joaquin, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.cityofsanjoaquin.org/index.html,,
"LOC_CITY_San Jose, City of","The Mission of the City of San José is to provide quality public services, facilities and opportunities that create, sustain, and enhance a safe, livable, and vibrant community for its diverse residents, businesses, and visitors. ",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.sanjoseca.gov/your-government/departments-offices/office-of-the-city-manager/mission-and-core-values,,
"LOC_CITY_San Juan Bautista, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.san-juan-bautista.ca.us/,,
"LOC_CITY_San Juan Capistrano, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://sanjuancapistrano.org/,,
"LOC_CITY_San Leandro, City of","We, the employees of the City of San Leandro, are dedicated and committed to serving the citizens of this community. We strive at all times to achieve the highest professional standards, to communicate a vision of the future and to enhance the quality of life for every citizen.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.sanleandro.org/about/mission_statement.asp,,
"LOC_CITY_San Marcos, City of","The mission of the City of San Marcos is to improve the quality of life of those who live, work or visit San Marcos by providing a safe family atmosphere that is rich and diverse in cultural and natural resources and promotes economic and educational opportunities.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.san-marcos.net/about-us/mission-statement,,
"LOC_CITY_San Marino, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsanmarino.org/,,
"LOC_CITY_San Mateo, City of","Serving San Mateo community through collaboration, innovation, and professionalism",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsanmateo.org/3760/Mission-Values-and-Organizational-Princi,,
"LOC_CITY_San Pablo, City of",TO UPLIFT THE QUALITY OF THE LIFE OF SAN PABLENOS THROUGH EFFECTIVE AND EFFICEIENT DELIVERY OF PUBLIC SERVICE IN PARTNERSHIP WITH THE PRIVATE.,Yes,Cultural,Recreation/parks/Trails/greenways,,,http://www.sanpablocitygov.ph/missionvision,,
"LOC_CITY_San Rafael, City of","The mission of the City of San Rafael is to enhance the quality of life and provide for a safe, healthy, prosperous and livable environment in partnership with the community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsanrafael.org/departments/city-council/,,
"LOC_CITY_San Ramon, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.sanramon.ca.gov/,,
"LOC_CITY_Sand City, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.sandcity.org/our-community,,
"LOC_CITY_Sanger, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.sanger.ca.us/,,
"LOC_CITY_Santa Ana, City of","To deliver efficient public services in partnership with our community which ensures public safety, a prosperous economic environment, opportunities for our youth, and a high quality of life for residents.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.santa-ana.org/cm/strategic-plan,,
"LOC_CITY_Santa Clara, City of","The mission of the City of Santa Clara is to promote a living and working environment that allows for the best quality of life by serving the community with resourceful, efficient, progressive and professional leadership.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.santaclaraca.gov/our-city/about-santa-clara/city-history/mission-statement,,
"LOC_CITY_Santa Cruz, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsantacruz.com/home,,
"LOC_CITY_Santa Fe Springs, City of","Our mission is to improve the quality of community life in the City of Santa Fe Springs; to foster the public trust through effective management of public resources; to provide a safe, well-planned and aesthetically pleasing environment; to encourage personal enrichment through educational, cultural, social, and leisure programs; to serve the public in a responsive and courteous manner; and, to promote social harmony in all aspects of community life.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.santafesprings.org/about/mission_statement.asp,,
"LOC_CITY_Santa Maria, City of","To provide the highest quality service in the most efficient, cost-effective, and courteous manner possible.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsantamaria.org/about-us/codes-and-documents/mission-statement,,
"LOC_CITY_Santa Monica, City of",Our mission is to foster collaboration and innovation to create a 21st century city that works for everyone.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.smgov.net/departments/cmo/,Yes,City Manager
